artist,title,album,added_at,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sooraj Santhosh,Uyiril Thodum,Kumbalangi Nights (Original Motion Picture Soundtrack),2021-04-01T17:14:37Z,0.66,0.411,4,-9.356,0,0.0308,0.719,0.000218,0.0956,0.275,107.895,audio_features,3bbzeZcfsK0ac7rdN2s7WX,spotify:track:3bbzeZcfsK0ac7rdN2s7WX,https://api.spotify.com/v1/tracks/3bbzeZcfsK0ac7rdN2s7WX,https://api.spotify.com/v1/audio-analysis/3bbzeZcfsK0ac7rdN2s7WX,234929,4
Sithara Krishnakumar,Cherathukal,Kumbalangi Nights (Original Motion Picture Soundtrack),2021-04-01T17:14:31Z,0.394,0.232,9,-13.199,1,0.0339,0.953,0.00932,0.367,0.201,123.935,audio_features,3rwIts9ls8HrOVbawWXmF2,spotify:track:3rwIts9ls8HrOVbawWXmF2,https://api.spotify.com/v1/tracks/3rwIts9ls8HrOVbawWXmF2,https://api.spotify.com/v1/audio-analysis/3rwIts9ls8HrOVbawWXmF2,221371,3
Bon Iver,"Hey, Ma","i,i",2021-03-31T18:40:52Z,0.411,0.285,0,-10.97,1,0.0306,0.872,0.000354,0.0993,0.213,72.139,audio_features,0d6bZwEAi1XblGRhnzPfgC,spotify:track:0d6bZwEAi1XblGRhnzPfgC,https://api.spotify.com/v1/tracks/0d6bZwEAi1XblGRhnzPfgC,https://api.spotify.com/v1/audio-analysis/0d6bZwEAi1XblGRhnzPfgC,216707,4
Husky,SYWD,SYWD,2021-03-31T17:37:02Z,0.523,0.425,7,-10.298,0,0.0661,0.465,0.463,0.0856,0.447,79.507,audio_features,6787F4K9uIqVdSyYaPYBgl,spotify:track:6787F4K9uIqVdSyYaPYBgl,https://api.spotify.com/v1/tracks/6787F4K9uIqVdSyYaPYBgl,https://api.spotify.com/v1/audio-analysis/6787F4K9uIqVdSyYaPYBgl,232297,3
A.R. Rahman,Nenjukkule,Kadal (Original Motion Picture Soundtrack),2021-03-31T07:08:19Z,0.473,0.4,7,-8.224,1,0.0311,0.699,1.27e-05,0.132,0.259,154.04,audio_features,7FEWG1bL31YAcnxJQvxJJO,spotify:track:7FEWG1bL31YAcnxJQvxJJO,https://api.spotify.com/v1/tracks/7FEWG1bL31YAcnxJQvxJJO,https://api.spotify.com/v1/audio-analysis/7FEWG1bL31YAcnxJQvxJJO,290000,3
Bayaan,Teri Tasveer,Suno,2021-03-30T16:48:19Z,0.549,0.432,1,-9.741,0,0.0295,0.655,0.227,0.0907,0.229,118.941,audio_features,4iBIFGEGJ0I5ezZZ6VXYp7,spotify:track:4iBIFGEGJ0I5ezZZ6VXYp7,https://api.spotify.com/v1/tracks/4iBIFGEGJ0I5ezZZ6VXYp7,https://api.spotify.com/v1/audio-analysis/4iBIFGEGJ0I5ezZZ6VXYp7,298905,3
Marcy Playground,Sex & Candy,Marcy Playground,2021-03-28T10:19:47Z,0.67,0.558,2,-9.159,1,0.0251,0.238,0,0.106,0.63,80.511,audio_features,5mkGfmJGFZpwK9nA5amOhv,spotify:track:5mkGfmJGFZpwK9nA5amOhv,https://api.spotify.com/v1/tracks/5mkGfmJGFZpwK9nA5amOhv,https://api.spotify.com/v1/audio-analysis/5mkGfmJGFZpwK9nA5amOhv,173493,4
Murali Gopy,Kalippu,Premam,2021-03-27T13:52:49Z,0.691,0.693,9,-7.851,1,0.365,0.294,3.96e-05,0.423,0.475,120.18,audio_features,6EjzdHQKoIJJVMpjWBroQH,spotify:track:6EjzdHQKoIJJVMpjWBroQH,https://api.spotify.com/v1/tracks/6EjzdHQKoIJJVMpjWBroQH,https://api.spotify.com/v1/audio-analysis/6EjzdHQKoIJJVMpjWBroQH,182126,4
Lijadu Sisters,Come on Home,Horizon Unlimited,2021-03-27T10:20:02Z,0.537,0.501,7,-11.22,1,0.093,0.0684,0.00366,0.0753,0.914,93.849,audio_features,1FhP3mymDoN2hX5p57uTnu,spotify:track:1FhP3mymDoN2hX5p57uTnu,https://api.spotify.com/v1/tracks/1FhP3mymDoN2hX5p57uTnu,https://api.spotify.com/v1/audio-analysis/1FhP3mymDoN2hX5p57uTnu,318785,4
Adam Jensen,Drugs,Drugs,2021-03-27T10:05:52Z,0.763,0.498,2,-5.659,1,0.0556,0.216,1.83e-06,0.585,0.625,104.95,audio_features,2a3t5UK8jQQyR2Ew0RivEt,spotify:track:2a3t5UK8jQQyR2Ew0RivEt,https://api.spotify.com/v1/tracks/2a3t5UK8jQQyR2Ew0RivEt,https://api.spotify.com/v1/audio-analysis/2a3t5UK8jQQyR2Ew0RivEt,206992,4
